,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,income,race,gender,age
2861,0.22277227722772278,54298,0.16029239002741155,9,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,0,30,0,White,Male,25
2895,0.22277227722772278,185706,0.19011194029850748,10,0.04785541555301005,0.2672125046520283,0.10377203096689178,0,0,20,0,White,Female,20
11230,0.09287257019438445,143417,0.2744186046511628,11,0.4498151321129047,0.09260588657573582,0.4505235064668446,0,0,45,0,White,Male,66
45104,0.22277227722772278,193494,0.16029239002741155,9,0.4498151321129047,0.07142857142857142,0.4505235064668446,0,0,46,0,White,Male,40
22104,0.2817650186071239,414991,0.16029239002741155,9,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,70,0,White,Male,38
3443,0.5527272727272727,51089,0.41681304893350063,13,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,0,30,0,White,Male,39
20417,0.22277227722772278,76196,0.41681304893350063,13,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,50,0,White,Male,44
45202,0.22277227722772278,119793,0.19011194029850748,10,0.04785541555301005,0.2672125046520283,0.032577903682719546,0,0,50,0,White,Male,29
35603,0.2817650186071239,315640,0.41681304893350063,13,0.04785541555301005,0.2672125046520283,0.012466124661246613,0,0,60,0,Asian-Pac-Islander,Male,39
9389,0.22277227722772278,167357,0.19011194029850748,10,0.09529741513547181,0.14131218457101657,0.059683794466403164,0,213,40,0,White,Female,42
902,0.22277227722772278,386299,0.19011194029850748,10,0.04785541555301005,0.14131218457101657,0.10377203096689178,0,0,40,0,White,Female,31
8055,0.22277227722772278,160837,0.05204460966835875,3,0.4498151321129047,0.03885903265812319,0.4505235064668446,0,0,40,0,White,Male,44
48772,0.22277227722772278,63079,0.16029239002741155,9,0.09529741513547181,0.14131218457101657,0.059683794466403164,0,0,40,0,Black,Female,33
6665,0.22277227722772278,121321,0.04799107142857143,7,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,0,51,0,White,Male,31
19291,0.5527272727272727,168845,0.16029239002741155,9,0.4498151321129047,0.2672125046520283,0.48365465213746855,0,0,60,0,White,Female,44
43702,0.22277227722772278,316627,0.05204460966835875,3,0.09529741513547181,0.23184079601990049,0.10377203096689178,0,0,40,0,White,Male,64
11252,0.22277227722772278,143184,0.19011194029850748,10,0.04785541555301005,0.03885903265812319,0.012466124661246613,0,0,40,0,White,Female,21
44342,0.22277227722772278,128272,0.19011194029850748,10,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,40,0,White,Male,51
27853,0.22277227722772278,218785,0.19011194029850748,10,0.4498151321129047,0.14131218457101657,0.48365465213746855,0,0,65,0,White,Female,29
9547,0.22277227722772278,75755,0.41681304893350063,13,0.04785541555301005,0.46391076115485563,0.10377203096689178,0,0,50,1,White,Male,31
30283,0.2817650186071239,176027,0.16029239002741155,9,0.04785541555301005,0.03885903265812319,0.10377203096689178,0,0,28,0,White,Female,28
11149,0.2817650186071239,37232,0.2744186046511628,11,0.09529741513547181,0.23184079601990049,0.10377203096689178,10520,0,80,1,White,Male,33
19283,0.22277227722772278,34996,0.19011194029850748,10,0.07228915662650602,0.03885903265812319,0.059683794466403164,0,0,40,0,White,Female,38
22257,0.22277227722772278,53063,0.41681304893350063,13,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,45,0,White,Male,28
36457,0.2817650186071239,289741,0.5564263322884012,14,0.4498151321129047,0.11950549450549451,0.4505235064668446,41310,0,50,0,White,Male,63
33692,0.22277227722772278,256636,0.16029239002741155,9,0.4498151321129047,0.2094017094017094,0.4505235064668446,0,0,40,0,White,Male,37
29691,0.22277227722772278,203871,0.2744186046511628,11,0.4498151321129047,0.46391076115485563,0.48365465213746855,0,1887,40,1,White,Female,25
10998,0.22277227722772278,100669,0.2744186046511628,11,0.04785541555301005,0.23184079601990049,0.012466124661246613,0,0,20,0,Asian-Pac-Islander,Male,19
12203,0.22277227722772278,31714,0.19011194029850748,10,0.09529741513547181,0.14131218457101657,0.032577903682719546,4865,0,40,0,White,Female,32
3480,0.22277227722772278,123807,0.16029239002741155,9,0.07228915662650602,0.14131218457101657,0.059683794466403164,0,0,40,0,Black,Female,49
43145,0.22277227722772278,238628,0.04799107142857143,7,0.04785541555301005,0.03885903265812319,0.012466124661246613,0,0,5,0,White,Female,17
14924,0.22277227722772278,182142,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,40,0,White,Male,56
39292,0.5527272727272727,186410,0.7628361858190709,15,0.04785541555301005,0.03885903265812319,0.10377203096689178,0,0,60,1,White,Male,47
7413,0.22277227722772278,176185,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,40,0,White,Male,53
9009,0.22277227722772278,186256,0.19011194029850748,10,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,1902,55,1,White,Male,46
26451,0.22277227722772278,196816,0.41681304893350063,13,0.4498151321129047,0.46391076115485563,0.4505235064668446,3908,0,40,0,White,Male,24
2666,0.09287257019438445,161288,0.05337078651685444,5,0.4498151321129047,0.09260588657573582,0.4505235064668446,0,0,45,0,White,Male,32
39207,0.22277227722772278,138358,0.05446293494704992,6,0.09529741513547181,0.23184079601990049,0.10377203096689178,0,0,35,0,Black,Female,51
29675,0.2817650186071239,208577,0.19011194029850748,10,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,45,1,White,Male,27
3377,0.22277227722772278,107302,0.41681304893350063,13,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,0,40,1,White,Male,35
24254,0.2817650186071239,286282,0.41681304893350063,13,0.4498151321129047,0.14131218457101657,0.48365465213746855,0,0,20,0,White,Female,31
35339,0.09287257019438445,63466,0.16029239002741155,9,0.09398496240910283,0.09260588657573582,0.059683794466403164,0,0,32,0,White,Female,48
23998,0.22277227722772278,301762,0.16029239002741155,9,0.04785541555301005,0.14131218457101657,0.012466124661246613,0,0,25,0,White,Female,18
38852,0.3042345276872964,287192,0.040991116105826314,2,0.4498151321129047,0.03885903265812319,0.4505235064668446,0,0,32,0,White,Male,53
25910,0.22277227722772278,220776,0.5564263322884012,14,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,35,1,White,Male,43
13455,0.39166666666666666,83610,0.41681304893350063,13,0.4498151321129047,0.14131218457101657,0.4505235064668446,0,0,40,1,White,Male,46
6149,0.22277227722772278,209768,0.2744186046511628,11,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,40,1,White,Male,30
15748,0.09287257019438445,190873,0.41681304893350063,13,0.4498151321129047,0.09260588657573582,0.48365465213746855,0,0,40,0,White,Female,62
13113,0.22277227722772278,119176,0.16029239002741155,9,0.4498151321129047,0.14131218457101657,0.48365465213746855,0,0,44,0,White,Female,32
3065,0.22277227722772278,171889,0.0673076923077289,8,0.04785541555301005,0.2672125046520283,0.012466124661246613,0,0,35,0,White,Female,33
46148,0.22277227722772278,158451,0.5564263322884012,14,0.4498151321129047,0.46391076115485563,0.48365465213746855,0,0,2,1,White,Female,47
43677,0.39166666666666666,201617,0.16029239002741155,9,0.04785541555301005,0.14131218457101657,0.059683794466403164,0,0,40,0,White,Female,38
22202,0.09287257019438445,209432,0.16029239002741155,9,0.07228915662650602,0.09260588657573582,0.059683794466403164,0,0,20,0,White,Female,33
17495,0.22277227722772278,205839,0.19011194029850748,10,0.04785541555301005,0.03885903265812319,0.012466124661246613,0,0,16,0,White,Male,20
24535,0.22277227722772278,238008,0.16029239002741155,9,0.08187919463087248,0.14131218457101657,0.012466124661246613,0,0,40,0,White,Female,39
8781,0.22277227722772278,231865,0.16029239002741155,9,0.4498151321129047,0.14131218457101657,0.4505235064668446,0,0,46,0,White,Male,52
28317,0.22277227722772278,24364,0.19011194029850748,10,0.4498151321129047,0.03885903265812319,0.48365465213746855,0,0,30,0,Black,Female,42
32576,0.22277227722772278,117802,0.16029239002741155,9,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,65,1,White,Male,38
7349,0.22277227722772278,224277,0.41681304893350063,13,0.09529741513547181,0.48318462594371997,0.059683794466403164,0,0,40,1,White,Female,60
9416,0.26043737574552683,143059,0.41681304893350063,13,0.04785541555301005,0.48318462594371997,0.10377203096689178,0,0,45,0,White,Female,38
19881,0.22277227722772278,209022,0.04799107142857143,7,0.09529741513547181,0.03885903265812319,0.10377203096689178,0,0,37,0,White,Female,53
22292,0.22277227722772278,157747,0.19011194029850748,10,0.4498151321129047,0.48318462594371997,0.4505235064668446,7298,0,40,1,White,Male,34
9406,0.22277227722772278,144002,0.16029239002741155,9,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,50,1,White,Male,42
39693,0.22277227722772278,308550,0.16029239002741155,9,0.09529741513547181,0.23184079601990049,0.059683794466403164,0,0,60,0,White,Female,41
26606,0.22277227722772278,77357,0.7628361858190709,15,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,0,40,1,White,Male,40
37300,0.3042345276872964,349431,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,4386,0,40,1,White,Male,51
30017,0.22277227722772278,93225,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,40,0,White,Male,35
31337,0.22277227722772278,338283,0.19011194029850748,10,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,40,1,White,Male,50
43532,0.22277227722772278,50748,0.41681304893350063,13,0.08187919463087248,0.46391076115485563,0.059683794466403164,1506,0,35,0,White,Female,49
24259,0.22277227722772278,197429,0.16029239002741155,9,0.4498151321129047,0.07142857142857142,0.4505235064668446,0,0,45,1,White,Male,37
20611,0.3042345276872964,240358,0.16029239002741155,9,0.4498151321129047,0.33127572016460904,0.4505235064668446,0,0,40,1,White,Male,51
16413,0.2817650186071239,120985,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,4386,0,35,0,White,Male,38
28657,0.22277227722772278,175856,0.41681304893350063,13,0.4498151321129047,0.2922868741542625,0.4505235064668446,0,1902,40,1,White,Male,32
7360,0.22277227722772278,278553,0.41681304893350063,13,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,0,38,0,Black,Male,35
40623,0.2817650186071239,56841,0.41681304893350063,13,0.4498151321129047,0.11950549450549451,0.4505235064668446,0,0,70,0,White,Male,49
2799,0.22277227722772278,145964,0.19011194029850748,10,0.04785541555301005,0.03885903265812319,0.012466124661246613,0,0,20,0,White,Male,23
28546,0.22277227722772278,324372,0.16029239002741155,9,0.04785541555301005,0.07142857142857142,0.012466124661246613,0,0,40,0,Black,Male,25
40073,0.39166666666666666,75313,0.41681304893350063,13,0.4498151321129047,0.46391076115485563,0.4505235064668446,7688,0,66,1,White,Male,40
27822,0.3042345276872964,379940,0.41681304893350063,13,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,0,40,1,White,Male,63
44271,0.22277227722772278,184016,0.16029239002741155,9,0.04785541555301005,0.2094017094017094,0.10377203096689178,0,0,40,0,White,Male,33
1201,0.22277227722772278,169515,0.05446293494704992,6,0.04785541555301005,0.12508784258608574,0.10377203096689178,0,0,40,0,Black,Female,49
27221,0.22277227722772278,101597,0.19011194029850748,10,0.09529741513547181,0.2672125046520283,0.059683794466403164,0,0,54,0,White,Female,29
40474,0.22277227722772278,199416,0.41681304893350063,13,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,0,40,0,White,Male,32
46511,0.22277227722772278,178469,0.16029239002741155,9,0.04785541555301005,0.03885903265812319,0.012466124661246613,0,0,15,0,Asian-Pac-Islander,Female,20
9971,0.5527272727272727,129573,0.2664041994750656,12,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,45,0,White,Male,39
5438,0.22277227722772278,182590,0.16029239002741155,9,0.04785541555301005,0.03885903265812319,0.012466124661246613,0,0,40,0,White,Female,19
13224,0.22277227722772278,28297,0.05337078651685444,5,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,40,0,White,Male,56
36822,0.22277227722772278,195635,0.16029239002741155,9,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,2051,38,0,White,Male,52
36633,0.2817650186071239,29054,0.16029239002741155,9,0.4498151321129047,0.11950549450549451,0.4505235064668446,0,0,50,0,White,Male,37
27721,0.22277227722772278,174603,0.16029239002741155,9,0.04785541555301005,0.48318462594371997,0.10377203096689178,0,0,35,0,White,Female,67
6219,0.09287257019438445,505168,0.05337078651685444,5,0.04785541555301005,0.09260588657573582,0.032577903682719546,0,0,40,0,White,Female,19
1390,0.22277227722772278,132853,0.040991116105826314,2,0.4498151321129047,0.2094017094017094,0.4505235064668446,0,0,40,0,White,Male,41
45404,0.22277227722772278,191722,0.19011194029850748,10,0.4498151321129047,0.33127572016460904,0.4505235064668446,7688,0,54,1,White,Male,29
46876,0.22277227722772278,342567,0.41681304893350063,13,0.09398496240910283,0.14131218457101657,0.059683794466403164,0,0,40,0,White,Female,43
9557,0.22277227722772278,163870,0.16029239002741155,9,0.04785541555301005,0.11950549450549451,0.012466124661246613,0,0,40,0,White,Male,20
19963,0.22277227722772278,270985,0.19011194029850748,10,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,50,0,Black,Male,38
18877,0.22277227722772278,133985,0.05446293494704992,6,0.04785541555301005,0.23184079601990049,0.012466124661246613,0,0,40,0,Black,Female,23
11282,0.22277227722772278,63925,0.05204460966835875,3,0.04785541555301005,0.12508784258608574,0.10377203096689178,0,0,35,0,White,Male,33
29589,0.22277227722772278,88500,0.19011194029850748,10,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,44,1,White,Male,45
13885,0.22277227722772278,130968,0.05337078651685444,5,0.09529741513547181,0.2094017094017094,0.10377203096689178,0,0,50,0,White,Male,63
37452,0.22277227722772278,217296,0.2744186046511628,11,0.4498151321129047,0.14131218457101657,0.48365465213746855,0,0,35,0,White,Female,30
23110,0.22277227722772278,402778,0.05337078651685444,5,0.04785541555301005,0.07142857142857142,0.012466124661246613,0,0,12,0,White,Male,24
8925,0.22277227722772278,359397,0.04799107142857143,7,0.4498151321129047,0.07142857142857142,0.4505235064668446,0,0,40,0,Other,Male,36
19194,0.3042345276872964,131776,0.5564263322884012,14,0.04785541555301005,0.14131218457101657,0.10377203096689178,0,0,40,0,White,Female,30
39399,0.26043737574552683,145651,0.19011194029850748,10,0.04785541555301005,0.2672125046520283,0.012466124661246613,0,1602,12,0,Black,Female,21
20596,0.09287257019438445,275943,0.19011194029850748,10,0.4498151321129047,0.09260588657573582,0.4505235064668446,0,0,40,0,White,Male,56
13634,0.22277227722772278,82726,0.19011194029850748,10,0.4498151321129047,0.2672125046520283,0.48365465213746855,0,0,40,0,White,Female,39
18546,0.22277227722772278,159549,0.19011194029850748,10,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,0,50,1,White,Male,43
44099,0.22277227722772278,158002,0.19011194029850748,10,0.04785541555301005,0.12508784258608574,0.032577903682719546,0,0,55,0,White,Male,32
44040,0.22277227722772278,317702,0.05446293494704992,6,0.04785541555301005,0.2672125046520283,0.012466124661246613,0,0,15,0,Black,Female,17
39911,0.22277227722772278,110279,0.2664041994750656,12,0.09529741513547181,0.46391076115485563,0.059683794466403164,0,0,35,0,Black,Female,32
8681,0.09287257019438445,30840,0.19011194029850748,10,0.09529741513547181,0.09260588657573582,0.059683794466403164,0,0,40,0,White,Female,25
8755,0.3042345276872964,110075,0.5564263322884012,14,0.4498151321129047,0.46391076115485563,0.48365465213746855,15024,0,50,1,White,Female,35
22795,0.22277227722772278,202496,0.41681304893350063,13,0.4498151321129047,0.07142857142857142,0.4505235064668446,0,0,37,0,White,Male,45
42762,0.22277227722772278,265192,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,45,0,White,Male,48
15419,0.22277227722772278,57408,0.41681304893350063,13,0.09529741513547181,0.14131218457101657,0.10377203096689178,0,0,35,0,White,Female,61
19944,0.22277227722772278,344129,0.16029239002741155,9,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,40,1,White,Male,32
11902,0.22277227722772278,30237,0.16029239002741155,9,0.4498151321129047,0.2672125046520283,0.48365465213746855,0,0,45,0,White,Female,27
23468,0.2817650186071239,226092,0.19011194029850748,10,0.4498151321129047,0.11950549450549451,0.4505235064668446,0,0,44,0,White,Male,67
26538,0.22277227722772278,169037,0.16029239002741155,9,0.04785541555301005,0.14131218457101657,0.10377203096689178,0,0,40,0,White,Female,36
15846,0.09287257019438445,246974,0.0673076923077289,8,0.04785541555301005,0.09260588657573582,0.012466124661246613,0,0,30,0,White,Male,17
25962,0.22277227722772278,252250,0.04799107142857143,7,0.09529741513547181,0.12508784258608574,0.10377203096689178,0,0,65,0,White,Male,38
36599,0.22277227722772278,617898,0.41681304893350063,13,0.4498151321129047,0.11950549450549451,0.4505235064668446,0,0,50,0,White,Male,38
48613,0.22277227722772278,233777,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,72,0,White,Male,26
20781,0.09287257019438445,296738,0.04799107142857143,7,0.07228915662650602,0.09260588657573582,0.10377203096689178,6849,0,60,0,White,Female,35
371,0.22277227722772278,203217,0.08078602620087336,4,0.07228915662650602,0.23184079601990049,0.10377203096689178,0,0,40,0,White,Male,41
30571,0.22277227722772278,143582,0.41681304893350063,13,0.04785541555301005,0.46391076115485563,0.012466124661246613,0,0,45,0,Asian-Pac-Islander,Female,21
37892,0.22277227722772278,289448,0.2744186046511628,11,0.04785541555301005,0.14131218457101657,0.012466124661246613,0,0,40,0,Asian-Pac-Islander,Female,24
16220,0.2817650186071239,254711,0.16029239002741155,9,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,0,20,0,White,Male,56
39219,0.22277227722772278,83859,0.16029239002741155,9,0.08187919463087248,0.12508784258608574,0.012466124661246613,0,0,30,0,White,Female,40
44951,0.22277227722772278,191777,0.5564263322884012,14,0.04785541555301005,0.14131218457101657,0.10377203096689178,0,0,40,0,Black,Female,32
18990,0.22277227722772278,26248,0.16029239002741155,9,0.04785541555301005,0.14131218457101657,0.012466124661246613,0,0,40,0,White,Female,23
39696,0.09287257019438445,76198,0.16029239002741155,9,0.07228915662650602,0.09260588657573582,0.012466124661246613,0,0,20,0,White,Female,31
5444,0.22277227722772278,163921,0.19011194029850748,10,0.08187919463087248,0.14131218457101657,0.059683794466403164,0,0,20,0,Black,Female,72
6079,0.3042345276872964,29075,0.19011194029850748,10,0.4498151321129047,0.14131218457101657,0.48365465213746855,5013,0,40,0,Amer-Indian-Eskimo,Female,38
18601,0.22277227722772278,234633,0.19011194029850748,10,0.04785541555301005,0.23184079601990049,0.10377203096689178,0,0,40,0,White,Male,40
21293,0.26043737574552683,79440,0.5564263322884012,14,0.04785541555301005,0.46391076115485563,0.10377203096689178,0,0,30,0,Asian-Pac-Islander,Male,33
25488,0.22277227722772278,198431,0.16029239002741155,9,0.04785541555301005,0.07142857142857142,0.10377203096689178,0,0,40,0,White,Female,21
7508,0.3042345276872964,32587,0.19011194029850748,10,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,40,0,Amer-Indian-Eskimo,Male,34
16263,0.22277227722772278,269623,0.19011194029850748,10,0.04785541555301005,0.23184079601990049,0.012466124661246613,0,0,40,0,White,Male,22
1773,0.22277227722772278,141069,0.16029239002741155,9,0.09529741513547181,0.14131218457101657,0.032577903682719546,0,0,40,0,White,Female,49
38047,0.22277227722772278,179088,0.19011194029850748,10,0.09529741513547181,0.14131218457101657,0.10377203096689178,0,0,40,0,White,Female,37
12731,0.22277227722772278,255252,0.16029239002741155,9,0.04785541555301005,0.23184079601990049,0.10377203096689178,0,0,40,0,White,Male,24
38018,0.3042345276872964,102942,0.19011194029850748,10,0.04785541555301005,0.03885903265812319,0.10377203096689178,0,2001,40,0,White,Female,21
15443,0.22277227722772278,132859,0.05446293494704992,6,0.04785541555301005,0.03885903265812319,0.032577903682719546,0,0,35,0,White,Male,17
1642,0.22277227722772278,44041,0.2664041994750656,12,0.09398496240910283,0.14131218457101657,0.032577903682719546,0,0,60,0,White,Male,39
16706,0.22277227722772278,133373,0.16029239002741155,9,0.4498151321129047,0.2094017094017094,0.4505235064668446,0,0,60,0,White,Male,25
3274,0.22277227722772278,178282,0.16029239002741155,9,0.08187919463087248,0.23184079601990049,0.059683794466403164,0,0,40,0,White,Male,56
376,0.22277227722772278,302903,0.41681304893350063,13,0.4498151321129047,0.46391076115485563,0.48365465213746855,0,1485,40,0,Asian-Pac-Islander,Female,28
31835,0.22277227722772278,448626,0.19011194029850748,10,0.04785541555301005,0.2672125046520283,0.012466124661246613,0,0,40,0,White,Male,22
34273,0.22277227722772278,121130,0.16029239002741155,9,0.09529741513547181,0.03885903265812319,0.059683794466403164,0,0,40,0,White,Female,44
27488,0.22277227722772278,330144,0.19011194029850748,10,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,40,0,White,Male,65
31873,0.22277227722772278,96586,0.19011194029850748,10,0.4498151321129047,0.2922868741542625,0.4505235064668446,0,0,40,1,White,Male,51
48720,0.22277227722772278,190273,0.41681304893350063,13,0.04785541555301005,0.46391076115485563,0.012466124661246613,0,0,40,0,White,Male,23
15303,0.22277227722772278,365745,0.05446293494704992,6,0.4498151321129047,0.07142857142857142,0.4505235064668446,0,0,20,0,White,Male,27
2612,0.09287257019438445,258231,0.16029239002741155,9,0.04785541555301005,0.09260588657573582,0.10377203096689178,0,0,35,0,White,Male,27
17588,0.22277227722772278,202203,0.05204460966835875,3,0.04785541555301005,0.14131218457101657,0.012466124661246613,0,0,40,0,White,Female,26
12415,0.2817650186071239,136258,0.19011194029850748,10,0.09529741513547181,0.03885903265812319,0.10377203096689178,0,0,30,0,White,Male,47
44785,0.22277227722772278,173316,0.2664041994750656,12,0.09529741513547181,0.23184079601990049,0.10377203096689178,0,0,40,0,White,Male,43
24264,0.22277227722772278,192982,0.16029239002741155,9,0.4498151321129047,0.2922868741542625,0.4505235064668446,0,1848,40,1,White,Male,50
3961,0.2817650186071239,299119,0.41681304893350063,13,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,0,50,1,White,Male,51
9086,0.22277227722772278,131230,0.16029239002741155,9,0.04785541555301005,0.03885903265812319,0.012466124661246613,0,0,20,0,White,Male,23
46851,0.22277227722772278,124111,0.19011194029850748,10,0.04785541555301005,0.14131218457101657,0.012466124661246613,0,0,40,0,White,Female,25
31894,0.3042345276872964,211129,0.2744186046511628,11,0.04785541555301005,0.14131218457101657,0.012466124661246613,0,0,10,0,White,Female,22
31200,0.22277227722772278,43387,0.41681304893350063,13,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,55,1,White,Male,24
30150,0.22277227722772278,170730,0.16029239002741155,9,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,50,0,White,Male,40
19538,0.22277227722772278,207537,0.16029239002741155,9,0.09529741513547181,0.23184079601990049,0.012466124661246613,0,1669,50,0,White,Male,31
8948,0.2817650186071239,75785,0.16029239002741155,9,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,70,0,White,Male,57
1980,0.22277227722772278,203967,0.7628361858190709,15,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,1887,40,1,White,Male,53
8699,0.2817650186071239,77404,0.19011194029850748,10,0.4498151321129047,0.2672125046520283,0.4505235064668446,0,0,44,1,White,Male,49
1437,0.39166666666666666,178074,0.5564263322884012,14,0.4498151321129047,0.14131218457101657,0.48365465213746855,0,1902,40,1,White,Female,42
14851,0.22277227722772278,157887,0.05337078651685444,5,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,50,0,White,Male,33
36310,0.09287257019438445,34506,0.19011194029850748,10,0.07228915662650602,0.09260588657573582,0.059683794466403164,0,0,25,0,White,Female,22
26639,0.22277227722772278,166758,0.19011194029850748,10,0.09529741513547181,0.03885903265812319,0.10377203096689178,0,0,15,0,White,Female,50
23949,0.22277227722772278,160398,0.19011194029850748,10,0.09398496240910283,0.07142857142857142,0.059683794466403164,0,0,40,0,White,Male,23
37697,0.3042345276872964,92486,0.19011194029850748,10,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,40,0,White,Male,50
45388,0.22277227722772278,212918,0.19011194029850748,10,0.04785541555301005,0.2922868741542625,0.10377203096689178,0,0,70,0,White,Male,33
39231,0.22277227722772278,215232,0.19011194029850748,10,0.04785541555301005,0.48318462594371997,0.012466124661246613,0,0,10,0,White,Female,20
12650,0.22277227722772278,46756,0.19011194029850748,10,0.04785541555301005,0.23184079601990049,0.10377203096689178,0,0,50,0,White,Male,36
7970,0.09287257019438445,152719,0.19011194029850748,10,0.04785541555301005,0.09260588657573582,0.012466124661246613,0,0,15,0,Black,Female,24
24725,0.26043737574552683,114055,0.41681304893350063,13,0.04785541555301005,0.48318462594371997,0.10377203096689178,0,0,40,0,White,Female,39
48831,0.2817650186071239,27242,0.19011194029850748,10,0.4498151321129047,0.23184079601990049,0.4505235064668446,0,0,50,0,White,Male,43
32824,0.2817650186071239,162347,0.7628361858190709,15,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,0,15,1,White,Male,62
29889,0.09287257019438445,162104,0.05337078651685444,5,0.04785541555301005,0.09260588657573582,0.012466124661246613,0,0,40,0,White,Female,27
27112,0.22277227722772278,189623,0.7260273972595307,16,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,45,1,White,Male,35
40892,0.22277227722772278,191204,0.2744186046511628,11,0.04785541555301005,0.48318462594371997,0.012466124661246613,0,0,40,0,White,Female,46
37778,0.22277227722772278,155489,0.16029239002741155,9,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,0,43,1,White,Male,46
37735,0.22277227722772278,105381,0.16029239002741155,9,0.09529741513547181,0.2672125046520283,0.10377203096689178,0,0,40,0,White,Female,47
40006,0.22277227722772278,262841,0.16029239002741155,9,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,50,1,White,Male,39
33176,0.26043737574552683,40925,0.41681304893350063,13,0.4498151321129047,0.48318462594371997,0.4505235064668446,0,0,40,0,White,Male,58
8771,0.22277227722772278,343476,0.04799107142857143,7,0.09529741513547181,0.23184079601990049,0.059683794466403164,0,0,40,0,White,Male,35
19340,0.22277227722772278,164663,0.16029239002741155,9,0.4498151321129047,0.2094017094017094,0.4505235064668446,0,0,40,0,White,Male,40
17396,0.5527272727272727,226355,0.2744186046511628,11,0.4498151321129047,0.12508784258608574,0.4505235064668446,0,2415,70,1,White,Male,60
46694,0.22277227722772278,362883,0.19011194029850748,10,0.4498151321129047,0.2094017094017094,0.4505235064668446,0,0,40,0,White,Male,45
16371,0.22277227722772278,249977,0.2744186046511628,11,0.4498151321129047,0.46391076115485563,0.4505235064668446,0,0,40,0,White,Male,57
24047,0.22277227722772278,48882,0.16029239002741155,9,0.09529741513547181,0.14131218457101657,0.032577903682719546,0,0,40,0,White,Female,43
33223,0.22277227722772278,298601,0.05337078651685444,5,0.4498151321129047,0.12508784258608574,0.4505235064668446,3781,0,40,0,Black,Male,58
