,education,capital-loss,hours-per-week,race,gender,workclass,educational-num,fnlwgt,age,occupation,capital-gain,marital-status,relationship,income,race,gender,age
2861,HS-grad,0,30,White,Male,Private,9,54298,25,Sales,0,Married-civ-spouse,Husband,<=50K,White,Male,25
2895,Some-college,0,20,White,Female,Private,10,185706,20,Sales,0,Never-married,Not-in-family,<=50K,White,Female,20
11230,Assoc-voc,0,45,White,Male,?,11,143417,66,?,0,Married-civ-spouse,Husband,<=50K,White,Male,66
45104,HS-grad,0,46,White,Male,Private,9,193494,40,Handlers-cleaners,0,Married-civ-spouse,Husband,<=50K,White,Male,40
22104,HS-grad,0,70,White,Male,Self-emp-not-inc,9,414991,38,Machine-op-inspct,0,Married-civ-spouse,Husband,<=50K,White,Male,38
3443,Bachelors,0,30,White,Male,Self-emp-inc,13,51089,39,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,White,Male,39
20417,Bachelors,0,50,White,Male,Private,13,76196,44,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,44
45202,Some-college,0,50,White,Male,Private,10,119793,29,Sales,0,Never-married,Other-relative,<=50K,White,Male,29
35603,Bachelors,0,60,Asian-Pac-Islander,Male,Self-emp-not-inc,13,315640,39,Sales,0,Never-married,Own-child,<=50K,Asian-Pac-Islander,Male,39
9389,Some-college,213,40,White,Female,Private,10,167357,42,Adm-clerical,0,Divorced,Unmarried,<=50K,White,Female,42
902,Some-college,0,40,White,Female,Private,10,386299,31,Adm-clerical,0,Never-married,Not-in-family,<=50K,White,Female,31
8055,5th-6th,0,40,White,Male,Private,3,160837,44,Other-service,0,Married-civ-spouse,Husband,<=50K,White,Male,44
48772,HS-grad,0,40,Black,Female,Private,9,63079,33,Adm-clerical,0,Divorced,Unmarried,<=50K,Black,Female,33
6665,11th,0,51,White,Male,Private,7,121321,31,Sales,0,Married-civ-spouse,Husband,<=50K,White,Male,31
19291,HS-grad,0,60,White,Female,Self-emp-inc,9,168845,44,Sales,0,Married-civ-spouse,Wife,<=50K,White,Female,44
43702,5th-6th,0,40,White,Male,Private,3,316627,64,Craft-repair,0,Divorced,Not-in-family,<=50K,White,Male,64
11252,Some-college,0,40,White,Female,Private,10,143184,21,Other-service,0,Never-married,Own-child,<=50K,White,Female,21
44342,Some-college,0,40,White,Male,Private,10,128272,51,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,51
27853,Some-college,0,65,White,Female,Private,10,218785,29,Adm-clerical,0,Married-civ-spouse,Wife,<=50K,White,Female,29
9547,Bachelors,0,50,White,Male,Private,13,75755,31,Prof-specialty,0,Never-married,Not-in-family,>50K,White,Male,31
30283,HS-grad,0,28,White,Female,Self-emp-not-inc,9,176027,28,Other-service,0,Never-married,Not-in-family,<=50K,White,Female,28
11149,Assoc-voc,0,80,White,Male,Self-emp-not-inc,11,37232,33,Craft-repair,10520,Divorced,Not-in-family,>50K,White,Male,33
19283,Some-college,0,40,White,Female,Private,10,34996,38,Other-service,0,Separated,Unmarried,<=50K,White,Female,38
22257,Bachelors,0,45,White,Male,Private,13,53063,28,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,28
36457,Masters,0,50,White,Male,Self-emp-not-inc,14,289741,63,Farming-fishing,41310,Married-civ-spouse,Husband,<=50K,White,Male,63
33692,HS-grad,0,40,White,Male,Private,9,256636,37,Transport-moving,0,Married-civ-spouse,Husband,<=50K,White,Male,37
29691,Assoc-voc,1887,40,White,Female,Private,11,203871,25,Prof-specialty,0,Married-civ-spouse,Wife,>50K,White,Female,25
10998,Assoc-voc,0,20,Asian-Pac-Islander,Male,Private,11,100669,19,Craft-repair,0,Never-married,Own-child,<=50K,Asian-Pac-Islander,Male,19
12203,Some-college,0,40,White,Female,Private,10,31714,32,Adm-clerical,4865,Divorced,Other-relative,<=50K,White,Female,32
3480,HS-grad,0,40,Black,Female,Private,9,123807,49,Adm-clerical,0,Separated,Unmarried,<=50K,Black,Female,49
43145,11th,0,5,White,Female,Private,7,238628,17,Other-service,0,Never-married,Own-child,<=50K,White,Female,17
14924,HS-grad,0,40,White,Male,Private,9,182142,56,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,56
39292,Prof-school,0,60,White,Male,Self-emp-inc,15,186410,47,Other-service,0,Never-married,Not-in-family,>50K,White,Male,47
7413,HS-grad,0,40,White,Male,Private,9,176185,53,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,53
9009,Some-college,1902,55,White,Male,Private,10,186256,46,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,46
26451,Bachelors,0,40,White,Male,Private,13,196816,24,Prof-specialty,3908,Married-civ-spouse,Husband,<=50K,White,Male,24
2666,9th,0,45,White,Male,?,5,161288,32,?,0,Married-civ-spouse,Husband,<=50K,White,Male,32
39207,10th,0,35,Black,Female,Private,6,138358,51,Craft-repair,0,Divorced,Not-in-family,<=50K,Black,Female,51
29675,Some-college,0,45,White,Male,Self-emp-not-inc,10,208577,27,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,27
3377,Bachelors,0,40,White,Male,Private,13,107302,35,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,35
24254,Bachelors,0,20,White,Female,Self-emp-not-inc,13,286282,31,Adm-clerical,0,Married-civ-spouse,Wife,<=50K,White,Female,31
35339,HS-grad,0,32,White,Female,?,9,63466,48,?,0,Married-spouse-absent,Unmarried,<=50K,White,Female,48
23998,HS-grad,0,25,White,Female,Private,9,301762,18,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,18
38852,1st-4th,0,32,White,Male,Local-gov,2,287192,53,Other-service,0,Married-civ-spouse,Husband,<=50K,White,Male,53
25910,Masters,0,35,White,Male,Private,14,220776,43,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,43
13455,Bachelors,0,40,White,Male,Federal-gov,13,83610,46,Adm-clerical,0,Married-civ-spouse,Husband,>50K,White,Male,46
6149,Assoc-voc,0,40,White,Male,Private,11,209768,30,Machine-op-inspct,0,Married-civ-spouse,Husband,>50K,White,Male,30
15748,Bachelors,0,40,White,Female,?,13,190873,62,?,0,Married-civ-spouse,Wife,<=50K,White,Female,62
13113,HS-grad,0,44,White,Female,Private,9,119176,32,Adm-clerical,0,Married-civ-spouse,Wife,<=50K,White,Female,32
3065,12th,0,35,White,Female,Private,8,171889,33,Sales,0,Never-married,Own-child,<=50K,White,Female,33
46148,Masters,0,2,White,Female,Private,14,158451,47,Prof-specialty,0,Married-civ-spouse,Wife,>50K,White,Female,47
43677,HS-grad,0,40,White,Female,Federal-gov,9,201617,38,Adm-clerical,0,Never-married,Unmarried,<=50K,White,Female,38
22202,HS-grad,0,20,White,Female,?,9,209432,33,?,0,Separated,Unmarried,<=50K,White,Female,33
17495,Some-college,0,16,White,Male,Private,10,205839,20,Other-service,0,Never-married,Own-child,<=50K,White,Male,20
24535,HS-grad,0,40,White,Female,Private,9,238008,39,Adm-clerical,0,Widowed,Own-child,<=50K,White,Female,39
8781,HS-grad,0,46,White,Male,Private,9,231865,52,Adm-clerical,0,Married-civ-spouse,Husband,<=50K,White,Male,52
28317,Some-college,0,30,Black,Female,Private,10,24364,42,Other-service,0,Married-civ-spouse,Wife,<=50K,Black,Female,42
32576,HS-grad,0,65,White,Male,Private,9,117802,38,Machine-op-inspct,0,Married-civ-spouse,Husband,>50K,White,Male,38
7349,Bachelors,0,40,White,Female,Private,13,224277,60,Exec-managerial,0,Divorced,Unmarried,>50K,White,Female,60
9416,Bachelors,0,45,White,Female,State-gov,13,143059,38,Exec-managerial,0,Never-married,Not-in-family,<=50K,White,Female,38
19881,11th,0,37,White,Female,Private,7,209022,53,Other-service,0,Divorced,Not-in-family,<=50K,White,Female,53
22292,Some-college,0,40,White,Male,Private,10,157747,34,Exec-managerial,7298,Married-civ-spouse,Husband,>50K,White,Male,34
9406,HS-grad,0,50,White,Male,Private,9,144002,42,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,42
39693,HS-grad,0,60,White,Female,Private,9,308550,41,Craft-repair,0,Divorced,Unmarried,<=50K,White,Female,41
26606,Prof-school,0,40,White,Male,Private,15,77357,40,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,40
37300,HS-grad,0,40,White,Male,Local-gov,9,349431,51,Craft-repair,4386,Married-civ-spouse,Husband,>50K,White,Male,51
30017,HS-grad,0,40,White,Male,Private,9,93225,35,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,35
31337,Some-college,0,40,White,Male,Private,10,338283,50,Craft-repair,0,Married-civ-spouse,Husband,>50K,White,Male,50
43532,Bachelors,0,35,White,Female,Private,13,50748,49,Prof-specialty,1506,Widowed,Unmarried,<=50K,White,Female,49
24259,HS-grad,0,45,White,Male,Private,9,197429,37,Handlers-cleaners,0,Married-civ-spouse,Husband,>50K,White,Male,37
20611,HS-grad,0,40,White,Male,Local-gov,9,240358,51,Protective-serv,0,Married-civ-spouse,Husband,>50K,White,Male,51
16413,HS-grad,0,35,White,Male,Self-emp-not-inc,9,120985,38,Craft-repair,4386,Married-civ-spouse,Husband,<=50K,White,Male,38
28657,Bachelors,1902,40,White,Male,Private,13,175856,32,Tech-support,0,Married-civ-spouse,Husband,>50K,White,Male,32
7360,Bachelors,0,38,Black,Male,Private,13,278553,35,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,Black,Male,35
40623,Bachelors,0,70,White,Male,Self-emp-not-inc,13,56841,49,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,49
